Source Text,Translated Text
"Awaiting signature from party. Party can sign via web form.","في انتظار توقيع الطرف الآخر. يمكن للطرف الآخر التوقيع عبر النموذج الإلكتروني."
"Click here to view the contract","اضغط هنا لعرض العقد"
"Contract is active and submitted.","العقد فعال ومقدم."
"Contract is in draft state. HR can edit and send for party signature.","العقد في حالة مسودة. يمكن لمدير الموارد البشرية تعديله وإرساله لتوقيع الطرف الآخر."
"Contract was rejected by HR. The party's signature has been cleared and must be provided again.","تم رفض العقد من قبل الموارد البشرية. تم مسح توقيع الطرف الآخر ويجب تقديمه مرة أخرى."
"Contract {0} Expires in {1} Days - Action Required","العقد {0} سينتهي خلال {1} يوم - الإجراء مطلوب"
"Contract {0} Signed","تم توقيع العقد {0}"
"Contract {0} expires in {1} days","العقد {0} سينتهي خلال {1} يوم"
"Copy Signature Link","نسخ رابط التوقيع"
"Dear Team,","عزيزي الفريق،"
"Party Signature","توقيع الطرف الآخر"
"Party Signed On","تاريخ توقيع الطرف الآخر"
"Party has signed. HR Manager can review and approve/submit.","لقد قام الطرف الآخر بالتوقيع. يمكن لمدير الموارد البشرية المراجعة والموافقة/التقديم."
"Pending Party Signature","في انتظار توقيع الطرف الآخر"
"Please review this contract and take the necessary action.","يرجى مراجعة هذا العقد واتخاذ الإجراء اللازم."
"Reminder sent to ","تم إرسال تذكير إلى "
"Send for Signature","إرسال للتوقيع"
"Sign Contract","توقيع العقد"
"Signature from the party (customer/supplier/employee)","توقيع من الطرف الآخر (عميل/مورد/موظف)"
"Signature link copied to clipboard","تم نسخ رابط التوقيع إلى الحافظة"
"The contract <strong>{0}</strong> with <i>{1}</i> has been signed and requires review.","تم توقيع العقد <strong>{0}</strong> مع <i>{1}</i> ويتطلب المراجعة."
"The contract with <i>{0}</i> is expiring soon. Please review.","العقد مع <i>{0}</i> سينتهي قريباً. يرجى المراجعة."
"This is a reminder that the contract <strong>{0}</strong> with <i>{1}</i> will expire in <b>{2} days</b> on {3}.","هذا تذكير بأن العقد <strong>{0}</strong> مع <i>{1}</i> سينتهي خلال <b>{2} يوم</b> بتاريخ {3}."
"Timestamp when party signed the contract","ختم الوقت الذي وقع فيه الطرف الآخر على العقد"
"Action Required: Sign Contract {0}","إجراء مطلوب: توقيع العقد {0}"
"ltr","rtl"
"Dear {0},","عزيزي {0}،"
"Please sign the contract by clicking: {0}","يرجى توقيع العقد بالنقر على الرابط التالي: {0}"
"Contract Details:","تفاصيل العقد:"
"- Number: {0}","- الرقم: {0}"
"- Start Date: {0}","- تاريخ البدء: {0}"
"- End Date: {0}","- تاريخ الانتهاء: {0}"
"Thank you.","شكراً لك."
"Contract {0} - Party Signature Received","العقد {0} - تم استلام توقيع الطرف الآخر"
"Contract {0} has been signed by {1}. Please review and approve.","تم توقيع العقد {0} بواسطة {1}. يرجى المراجعة والاعتماد."
"View contract: {0}","عرض العقد: {0}"
Sign Contract,توقيع العقد
Party Name,اسم الطرف
Contract Terms,شروط العقد
Please read the contract terms carefully before signing,يرجى قراءة شروط العقد بعناية قبل التوقيع
Start Date,تاريخ بداية العقد
End Date,تاريخ انتهاء العقد
Your Signature,توقيعك
Signature,التوقيع
Please sign in the box below,يرجى التوقيع في المربع أدناه
Contract Signature,توقيع العقد
View your response,عرض العقد
Please review the contract terms below and provide your signature.,يرجى مراجعة شروط العقد أدناه وتقديم توقيعك.
Contract Signed Successfully,تم توقيع العقد بنجاح
Thank you for signing the contract. we will review and finalize it.,شكراً لتوقيعك العقد. سنقوم بمراجعته وإتمامه.
Submit Signature,إرسال التوقيع
Your form has been successfully updated,تم توقيع العقد بنجاح
"View your response","عرض العقد"
